id,count,site,locality,date,vaccine_type,posted,website
1381155486448422915,,Cvs - Hyannis,Hyannis,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Ipswich,Ipswich,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Lynn,Lynn,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Malden,Malden,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Methuen,Methuen,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - New Bedford,New Bedford,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - North Easton,North Easton,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Palmer,Palmer,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Randolph,Randolph,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Seekonk,Seekonk,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381155486448422915,,Cvs - Somerset,Somerset,2021-04-11 08:01:43,,2021-04-11 08:01:43,https://t.co/cvau09jxzh
1381143895959085057,,Cvs - Springfield,Springfield,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143895959085057,,Cvs - Taunton,Taunton,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143895959085057,,Cvs - West Bridgewater,West Bridgewater,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Agawam,Agawam,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Attleboro,Attleboro,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Brockton,Brockton,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Chelsea,Chelsea,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - East Boston,East Boston,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Fall River,Fall River,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Haverhill,Haverhill,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Holbrook,Holbrook,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Holyoke,Holyoke,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Hyannis,Hyannis,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Lynn,Lynn,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Malden,Malden,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Methuen,Methuen,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - New Bedford,New Bedford,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - North Easton,North Easton,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Palmer,Palmer,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Randolph,Randolph,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Seekonk,Seekonk,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381143894994382850,,Cvs - Somerset,Somerset,2021-04-11 07:15:39,,2021-04-11 07:15:39,https://t.co/cvau09jxzh
1381095706388267012,,Health Mart - Milford,Milford,2021-04-11 04:04:10,,2021-04-11 04:04:10,https://t.co/8izqcmxhpq
1381095706388267012,,Health Mart - Newton Center,Newton Center,2021-04-11 04:04:10,,2021-04-11 04:04:10,https://t.co/8izqcmxhpq
1381095706388267012,,Health Mart - Quincy,Quincy,2021-04-11 04:04:10,,2021-04-11 04:04:10,https://t.co/8izqcmxhpq
1381095706388267012,,Health Mart - Townsend,Townsend,2021-04-11 04:04:10,,2021-04-11 04:04:10,https://t.co/8izqcmxhpq
1381095706388267012,,Health Mart - Westfield,Westfield,2021-04-11 04:04:10,,2021-04-11 04:04:10,https://t.co/8izqcmxhpq
1381034004942614538,94,Randolph Intergenerational Center (ricc),Randolph,2021-04-11 00:00:00,Janssen Covid-19 Vaccine,2021-04-10 23:58:59,https://t.co/yqchbx2fv5
1380982632847175683,837,Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center,Worcester,2021-04-14 00:00:00,Pfizer-biontech Covid-19 Vaccine,2021-04-10 20:34:51,https://t.co/rkd6lns7wt
1380982377535709188,889,Saint Vincent Hospital Vaccine Collaborative @ Worcester State University - Wellness Center,Worcester,2021-04-13 00:00:00,Pfizer-biontech Covid-19 Vaccine,2021-04-10 20:33:50,https://t.co/rkd6lns7wt
1380975105484992516,19,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-12 00:00:00,,2021-04-10 20:04:57,https://t.co/ipc7lncrdh
1380966142009819143,,Costco - Avon,Avon,2021-04-10 19:29:20,,2021-04-10 19:29:20,https://t.co/jhi1wgelr2
1380966142009819143,,Costco - Danvers,Danvers,2021-04-10 19:29:20,,2021-04-10 19:29:20,https://t.co/jhi1wgelr2
1380966142009819143,,Costco - Dedham,Dedham,2021-04-10 19:29:20,,2021-04-10 19:29:20,https://t.co/jhi1wgelr2
1380966142009819143,,Costco - Everett,Everett,2021-04-10 19:29:20,,2021-04-10 19:29:20,https://t.co/jhi1wgelr2
1380966142009819143,,Costco - W.springfield,W.springfield,2021-04-10 19:29:20,,2021-04-10 19:29:20,https://t.co/jhi1wgelr2
1380966142009819143,,Costco - Waltham,Waltham,2021-04-10 19:29:20,,2021-04-10 19:29:20,https://t.co/jhi1wgelr2
1380922698558287875,,Shaw's - Brockton,Brockton,2021-04-10 16:36:42,,2021-04-10 16:36:42,https://t.co/gbru2x4dpa
1380922698558287875,,Shaw's - Canton,Canton,2021-04-10 16:36:42,,2021-04-10 16:36:42,https://t.co/gbru2x4dpa
1380922698558287875,,Shaw's - East Falmouth,East Falmouth,2021-04-10 16:36:42,,2021-04-10 16:36:42,https://t.co/gbru2x4dpa
1380922698558287875,,Shaw's - Shrewsbury,Shrewsbury,2021-04-10 16:36:42,,2021-04-10 16:36:42,https://t.co/gbru2x4dpa
1380922698558287875,,Shaw's - Stow,Stow,2021-04-10 16:36:42,,2021-04-10 16:36:42,https://t.co/gbru2x4dpa
1380899737457549315,,Shaw's - Brockton,Brockton,2021-04-10 15:05:27,,2021-04-10 15:05:27,https://t.co/gbru2x4dpa
1380899737457549315,,Shaw's - East Falmouth,East Falmouth,2021-04-10 15:05:27,,2021-04-10 15:05:27,https://t.co/gbru2x4dpa
1380899737457549315,,Shaw's - Franklin,Franklin,2021-04-10 15:05:27,,2021-04-10 15:05:27,https://t.co/gbru2x4dpa
1380899737457549315,,Shaw's - Groton,Groton,2021-04-10 15:05:27,,2021-04-10 15:05:27,https://t.co/gbru2x4dpa
1380899737457549315,,Shaw's - Hyde Park,Hyde Park,2021-04-10 15:05:27,,2021-04-10 15:05:27,https://t.co/gbru2x4dpa
1380899737457549315,,Shaw's - Medfield,Medfield,2021-04-10 15:05:27,,2021-04-10 15:05:27,https://t.co/gbru2x4dpa
1380899737457549315,,Shaw's - Plymouth,Plymouth,2021-04-10 15:05:27,,2021-04-10 15:05:27,https://t.co/gbru2x4dpa
1380891740832460805,,Cvs - East Falmouth,East Falmouth,2021-04-10 14:33:41,,2021-04-10 14:33:41,https://t.co/cvau09jxzh
1380891740832460805,,Cvs - Fall River,Fall River,2021-04-10 14:33:41,,2021-04-10 14:33:41,https://t.co/cvau09jxzh
1380891740832460805,,Cvs - New Bedford,New Bedford,2021-04-10 14:33:41,,2021-04-10 14:33:41,https://t.co/cvau09jxzh
1380891740832460805,,Cvs - Somerset,Somerset,2021-04-10 14:33:41,,2021-04-10 14:33:41,https://t.co/cvau09jxzh
1380891740832460805,,Cvs - Springfield,Springfield,2021-04-10 14:33:41,,2021-04-10 14:33:41,https://t.co/cvau09jxzh
1380884993036197889,11,Nantucket Covid Vaccine Clinic - Vfw,Nantucket,2021-04-16 00:00:00,,2021-04-10 14:06:52,https://t.co/wc6ytkruvv
1380884992046342145,11,Nantucket Covid Vaccine Clinic - Vfw,Nantucket,2021-04-15 00:00:00,,2021-04-10 14:06:52,https://t.co/wc6ytkruvv
1380858495369682945,24,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-13 00:00:00,,2021-04-10 12:21:35,https://t.co/ipc7lncrdh
1380854024191287299,19,Umass Memorial Healthcare 100 Front St Vaccine Clinic,Worcester,2021-04-13 00:00:00,,2021-04-10 12:03:49,https://t.co/ipc7lncrdh
1380853965001228291,,Cvs - Agawam,Agawam,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Brockton,Brockton,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Chelsea,Chelsea,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - East Boston,East Boston,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Fall River,Fall River,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Haverhill,Haverhill,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Holyoke,Holyoke,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Hyannis,Hyannis,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Ipswich,Ipswich,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Lynn,Lynn,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
1380853965001228291,,Cvs - Malden,Malden,2021-04-10 12:03:34,,2021-04-10 12:03:34,https://t.co/cvau09jxzh
